# 2D free energy surface in kcal/mol from histogramming
     bin      P_Olg     P_Onuc        N          f         df
     566      4.608      1.849       43     10.155      0.378
     567      4.608      1.944       23     15.116      0.425
     568      4.608      2.039       47     23.668      0.425
     569      4.608      2.133       49     27.682      0.355
     570      4.608      2.228      192     33.172      0.271
     571      4.608      2.323      202     36.890      0.171
     572      4.608      2.418      225     37.384      0.201
     573      4.608      2.513      192     37.733      0.198
     574      4.608      2.607      331     38.779      0.167
     575      4.608      2.702      491     39.193      0.114
     576      4.608      2.797      292     39.859      0.153
     577      4.608      2.892      192     40.212      0.169
     578      4.608      2.986      878     38.549      0.095
     579      4.608      3.081      887     37.949      0.097
     580      4.608      3.176      457     37.756      0.116
     581      4.608      3.271      497     35.071      0.176
     582      4.608      3.366     1103     32.431      0.183
     583      4.608      3.460     2407     31.040      0.096
     584      4.608      3.555     2820     29.984      0.088
     585      4.608      3.650      873     29.190      0.157
     586      4.608      3.745       95     28.138      0.341
     587      4.608      3.839       17     27.274      0.313
     588      4.740      2.228        4     34.756      0.600
     589      4.740      2.323        2        nan        nan
     590      4.740      2.418        7     36.130      0.522
     591      4.740      2.513        5        nan        nan
     592      4.740      2.607        5     39.428      0.600
     593      4.740      2.702        9        nan        nan
     594      4.740      2.797        7     39.865      0.600
     595      4.740      2.892        4        nan        nan
     596      4.740      2.986       30     38.816      0.264
     597      4.740      3.081       43     37.966      0.284
     598      4.740      3.176       12     39.069      0.430
     599      4.740      3.271       15     34.344      0.469
     600      4.740      3.366       67     30.815      0.467
     601      4.740      3.460      361     28.755      0.322
     602      4.740      3.555      504     27.393      0.217
     603      4.740      3.650      119     27.872      0.226
     604      4.740      3.745        6        nan        nan
